group,image,classifier,policy,block,deny_count,critical_total,suppressed_count
C,alpine:3.19,rule,P1,False,0,0,0
C,alpine:3.19,rule,P2,False,0,0,0
C,alpine:3.19,rule,P3,False,0,0,0
C,alpine:3.19,rule,P4_strict,False,0,0,0
C,alpine:3.19,rule,P4_relaxed,False,0,0,0
C,alpine:3.19,rule,P5_layer,False,0,0,0
C,alpine:3.19,rule,P7_severity_aware,False,0,0,0
C,alpine:3.19,rule,p_gate,False,0,0,0
C,alpine:3.19,rule,p_gate_with_exceptions,False,0,0,0
C,alpine:3.19,agent,P1,False,0,0,0
C,alpine:3.19,agent,P2,False,0,0,0
C,alpine:3.19,agent,P3,False,0,0,0
C,alpine:3.19,agent,P4_strict,False,0,0,0
C,alpine:3.19,agent,P4_relaxed,False,0,0,0
C,alpine:3.19,agent,P5_layer,False,0,0,0
C,alpine:3.19,agent,P7_severity_aware,False,0,0,0
C,alpine:3.19,agent,p_gate,False,0,0,0
C,alpine:3.19,agent,p_gate_with_exceptions,False,0,0,0
C,nginx:1.29.7,rule,P1,False,0,0,0
C,nginx:1.29.7,rule,P2,False,0,0,0
C,nginx:1.29.7,rule,P3,False,0,0,0
C,nginx:1.29.7,rule,P4_strict,False,0,0,0
C,nginx:1.29.7,rule,P4_relaxed,False,0,0,0
C,nginx:1.29.7,rule,P5_layer,False,0,0,0
C,nginx:1.29.7,rule,P7_severity_aware,False,0,0,0
C,nginx:1.29.7,rule,p_gate,False,0,0,0
C,nginx:1.29.7,rule,p_gate_with_exceptions,False,0,0,0
C,nginx:1.29.7,agent,P1,False,0,0,0
C,nginx:1.29.7,agent,P2,False,0,0,0
C,nginx:1.29.7,agent,P3,False,0,0,0
C,nginx:1.29.7,agent,P4_strict,False,0,0,0
C,nginx:1.29.7,agent,P4_relaxed,False,0,0,0
C,nginx:1.29.7,agent,P5_layer,False,0,0,0
C,nginx:1.29.7,agent,P7_severity_aware,False,0,0,0
C,nginx:1.29.7,agent,p_gate,False,0,0,0
C,nginx:1.29.7,agent,p_gate_with_exceptions,False,0,0,0
C,node:20,rule,P1,True,33,33,0
C,node:20,rule,P2,False,0,33,0
C,node:20,rule,P3,True,32,33,0
C,node:20,rule,P4_strict,False,0,33,0
C,node:20,rule,P4_relaxed,True,1,33,0
C,node:20,rule,P5_layer,True,1,33,0
C,node:20,rule,P7_severity_aware,True,1,33,0
C,node:20,rule,p_gate,False,13,33,0
C,node:20,rule,p_gate_with_exceptions,False,13,33,0
C,node:20,agent,P1,True,33,33,0
C,node:20,agent,P2,False,0,33,0
C,node:20,agent,P3,True,32,33,0
C,node:20,agent,P4_strict,False,0,33,0
C,node:20,agent,P4_relaxed,True,1,33,0
C,node:20,agent,P5_layer,True,1,33,0
C,node:20,agent,P7_severity_aware,True,1,33,0
C,node:20,agent,p_gate,False,13,33,0
C,node:20,agent,p_gate_with_exceptions,False,13,33,0
C,python:3.12,rule,P1,False,0,0,0
C,python:3.12,rule,P2,False,0,0,0
C,python:3.12,rule,P3,False,0,0,0
C,python:3.12,rule,P4_strict,False,0,0,0
C,python:3.12,rule,P4_relaxed,False,0,0,0
C,python:3.12,rule,P5_layer,False,0,0,0
C,python:3.12,rule,P7_severity_aware,False,0,0,0
C,python:3.12,rule,p_gate,False,78,0,0
C,python:3.12,rule,p_gate_with_exceptions,False,78,0,0
C,python:3.12,agent,P1,False,0,0,0
C,python:3.12,agent,P2,False,0,0,0
C,python:3.12,agent,P3,False,0,0,0
C,python:3.12,agent,P4_strict,False,0,0,0
C,python:3.12,agent,P4_relaxed,False,0,0,0
C,python:3.12,agent,P5_layer,False,0,0,0
C,python:3.12,agent,P7_severity_aware,False,0,0,0
C,python:3.12,agent,p_gate,False,78,0,0
C,python:3.12,agent,p_gate_with_exceptions,False,78,0,0
B,nginx:1.19,rule,P1,True,42,42,0
B,nginx:1.19,rule,P2,True,40,42,0
B,nginx:1.19,rule,P3,True,41,42,0
B,nginx:1.19,rule,P4_strict,False,0,42,0
B,nginx:1.19,rule,P4_relaxed,True,5,42,0
B,nginx:1.19,rule,P5_layer,True,5,42,0
B,nginx:1.19,rule,P7_severity_aware,True,11,42,0
B,nginx:1.19,rule,p_gate,True,138,42,0
B,nginx:1.19,rule,p_gate_with_exceptions,True,138,42,0
B,nginx:1.19,agent,P1,True,42,42,0
B,nginx:1.19,agent,P2,True,40,42,0
B,nginx:1.19,agent,P3,True,41,42,0
B,nginx:1.19,agent,P4_strict,False,0,42,0
B,nginx:1.19,agent,P4_relaxed,True,5,42,0
B,nginx:1.19,agent,P5_layer,True,5,42,0
B,nginx:1.19,agent,P7_severity_aware,True,11,42,0
B,nginx:1.19,agent,p_gate,True,138,42,0
B,nginx:1.19,agent,p_gate_with_exceptions,True,138,42,0
B,node:14,rule,P1,True,23,23,0
B,node:14,rule,P2,True,18,23,0
B,node:14,rule,P3,True,20,23,0
B,node:14,rule,P4_strict,False,0,23,0
B,node:14,rule,P4_relaxed,True,1,23,0
B,node:14,rule,P5_layer,True,1,23,0
B,node:14,rule,P7_severity_aware,True,11,23,0
B,node:14,rule,p_gate,False,307,23,0
B,node:14,rule,p_gate_with_exceptions,False,307,23,0
B,node:14,agent,P1,True,23,23,0
B,node:14,agent,P2,True,18,23,0
B,node:14,agent,P3,True,20,23,0
B,node:14,agent,P4_strict,False,0,23,0
B,node:14,agent,P4_relaxed,True,1,23,0
B,node:14,agent,P5_layer,True,1,23,0
B,node:14,agent,P7_severity_aware,True,11,23,0
B,node:14,agent,p_gate,False,306,23,0
B,node:14,agent,p_gate_with_exceptions,False,306,23,0
B,python:3.8,rule,P1,True,191,191,0
B,python:3.8,rule,P2,True,158,191,0
B,python:3.8,rule,P3,True,187,191,0
B,python:3.8,rule,P4_strict,False,0,191,0
B,python:3.8,rule,P4_relaxed,True,6,191,0
B,python:3.8,rule,P5_layer,True,6,191,0
B,python:3.8,rule,P7_severity_aware,True,11,191,0
B,python:3.8,rule,p_gate,False,490,191,0
B,python:3.8,rule,p_gate_with_exceptions,False,490,191,0
B,python:3.8,agent,P1,True,191,191,0
B,python:3.8,agent,P2,True,158,191,0
B,python:3.8,agent,P3,True,187,191,0
B,python:3.8,agent,P4_strict,False,0,191,0
B,python:3.8,agent,P4_relaxed,True,6,191,0
B,python:3.8,agent,P5_layer,True,6,191,0
B,python:3.8,agent,P7_severity_aware,True,11,191,0
B,python:3.8,agent,p_gate,False,489,191,0
B,python:3.8,agent,p_gate_with_exceptions,False,489,191,0
A,vulnerables/web-dvwa,rule,P1,True,328,328,0
A,vulnerables/web-dvwa,rule,P2,True,266,328,0
A,vulnerables/web-dvwa,rule,P3,True,295,328,0
A,vulnerables/web-dvwa,rule,P4_strict,True,4,328,0
A,vulnerables/web-dvwa,rule,P4_relaxed,True,30,328,0
A,vulnerables/web-dvwa,rule,P5_layer,True,30,328,0
A,vulnerables/web-dvwa,rule,P7_severity_aware,True,76,328,0
A,vulnerables/web-dvwa,rule,p_gate,True,707,328,0
A,vulnerables/web-dvwa,rule,p_gate_with_exceptions,True,707,328,0
A,vulnerables/web-dvwa,agent,P1,True,328,328,0
A,vulnerables/web-dvwa,agent,P2,True,266,328,0
A,vulnerables/web-dvwa,agent,P3,True,295,328,0
A,vulnerables/web-dvwa,agent,P4_strict,True,4,328,0
A,vulnerables/web-dvwa,agent,P4_relaxed,True,30,328,0
A,vulnerables/web-dvwa,agent,P5_layer,True,22,328,0
A,vulnerables/web-dvwa,agent,P7_severity_aware,True,68,328,0
A,vulnerables/web-dvwa,agent,p_gate,True,625,328,0
A,vulnerables/web-dvwa,agent,p_gate_with_exceptions,True,625,328,0
A,bkimminich/juice-shop,rule,P1,True,9,9,0
A,bkimminich/juice-shop,rule,P2,True,7,9,0
A,bkimminich/juice-shop,rule,P3,True,9,9,0
A,bkimminich/juice-shop,rule,P4_strict,False,0,9,0
A,bkimminich/juice-shop,rule,P4_relaxed,False,0,9,0
A,bkimminich/juice-shop,rule,P5_layer,False,0,9,0
A,bkimminich/juice-shop,rule,P7_severity_aware,False,0,9,0
A,bkimminich/juice-shop,rule,p_gate,False,35,9,0
A,bkimminich/juice-shop,rule,p_gate_with_exceptions,False,34,9,1
A,bkimminich/juice-shop,agent,P1,True,9,9,0
A,bkimminich/juice-shop,agent,P2,True,7,9,0
A,bkimminich/juice-shop,agent,P3,True,9,9,0
A,bkimminich/juice-shop,agent,P4_strict,False,0,9,0
A,bkimminich/juice-shop,agent,P4_relaxed,False,0,9,0
A,bkimminich/juice-shop,agent,P5_layer,False,0,9,0
A,bkimminich/juice-shop,agent,P7_severity_aware,False,0,9,0
A,bkimminich/juice-shop,agent,p_gate,False,35,9,0
A,bkimminich/juice-shop,agent,p_gate_with_exceptions,False,34,9,1
